Date of ,Location of ,Violation,Violation Base,Amount Due/
8/7/15,Metered Lot 3141,Meter Violation,50,0
8/7/15,Z1 2030,Parking Permit Vio,50,0
8/7/15,Svc & Disabled 3140,Service Space,60,0
8/7/15,Svc & Disabled 5083,Overtime,50,70
8/7/15,Lot Specific 6097,Parking Permit Vio,50,0
8/7/15,Z1 2030,Meter Violation,50,0
8/7/15,Z1 2030,Meter Violation,50,0
8/7/15,Svc & Disabled 5183,Overtime,50,0
8/7/15,Lot Specific 6097,Parking Permit Vio,50,0
8/7/15,Svc & Disabled 5183,Service Space,60,0
8/7/15,Z1 2030,Meter Violation,50,0
8/7/15,Second Street Garage,Prohibited Parking,85,0
8/7/15,James E Rogers Way,W/C Space/Access - 1DA,500,520
8/7/15,Metered Lot 6088,Meter Violation,50,0
8/7/15,Lot Specific 5067,Parking Permit Vio,50,0
8/7/15,Lot Specific 6097,Parking Permit Vio,50,0
8/7/15,Metered Lot 6088,Meter Violation,50,0
8/7/15,Metered Lot 6088,Meter Violation,50,0
8/7/15,Metered Lot 6088,Meter Violation,50,0
8/7/15,Lot Specific 6093,Parking Permit Vio,50,0
8/7/15,Lot Specific 6093,Parking Permit Vio,50,0
8/7/15,Lot Specific 6093,Park/Improper Area,60,0
8/10/15,Svc & Disabled 5073,Service Space,60,0
8/10/15,Warren Avenue North,Meter Violation,50,0
8/10/15,Warren Avenue North,Meter Violation,50,0
8/10/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/10/15,Slonaker,Meter Violation,50,0
8/10/15,1st Street,Meter Violation,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Slonaker LD/HC/HR/SV,Overtime,50,0
8/10/15,Slonaker LD/HC/HR/SV,Overtime,50,20
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,20
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 5072,Park/Improper Area,60,0
8/10/15,2nd Street,Meter Violation,50,0
8/10/15,Warren Avenue North,Meter Violation,50,0
8/10/15,Lot Specific 3113,Park/Improper Area,60,0
8/10/15,Warren Avenue North,Service Space,60,0
8/10/15,Lot Specific 5072,Meter Violation,50,0
8/10/15,Svc & Disabled 3140,Service Space,60,0
8/10/15,Svc & Disabled 3140,Service Space,60,0
8/10/15,Svc & Disabled 3140,Boot Fee - 1QA,80,0
8/10/15,Svc & Disabled 5083,Service Space,60,0
8/10/15,Metered Lot 6088,Meter Violation,50,0
8/10/15,Metered Lot 3141,Meter Violation,50,70
8/10/15,Metered Lot 3141,Meter Violation,50,0
8/10/15,Metered Lot 6088,Meter Violation,50,0
8/10/15,Metered Lot 3141,Meter Violation,50,20
8/10/15,Metered Lot 6088,Meter Violation,50,0
8/10/15,1st Street,Meter Violation,50,0
8/10/15,Cherry Avenue Garage,Overtime,50,0
8/10/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Park/Improper Area,60,0
8/10/15,Z1 2030,Meter Violation,50,0
8/10/15,Z1 2030,Meter Violation,50,0
8/10/15,Z1 2030,Meter Violation,50,70
8/10/15,Gould Simpson,Overtime,50,0
8/10/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/10/15,Metered Lot 3141,Meter Violation,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Svc & Disabled 5183,Overtime,50,0
8/10/15,Lot Specific 4052,Park/Improper Area,60,0
8/10/15,Lot Specific 6098,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 6098,Parking Permit Vio,50,0
8/10/15,Svc & Disabled 5183,Overtime,50,0
8/10/15,Lot Specific 6098,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Park/Improper Area,60,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Tyndall Ave Garage,Overtime,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Tyndall Ave Garage,Overtime,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Tyndall Ave Garage,Overtime,50,70
8/10/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/10/15,South Of Sixth 8106,Park/Improper Area,60,0
8/10/15,Tyndall Ave,Park/Improper Area,60,80
8/10/15,Lot Specific 3039,Parking Permit Vio,50,0
8/10/15,Communication/CESL,Overtime,50,70
8/10/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/10/15,Alley B104 Spdway & 2nd,Overtime,50,70
8/10/15,South Of Sixth 7103,Parking Permit Vio,50,0
8/10/15,Svc & Disabled 3140,Service Space,60,80
8/10/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/10/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/10/15,Gould Simpson,Overtime,50,0
8/10/15,Lot Specific 5067,Parking Permit Vio,50,0
8/10/15,Lot Specific 5067,Parking Permit Vio,50,0
8/10/15,Lot Specific 4052,Parking Permit Vio,50,0
8/10/15,Z1 1232,Parking Permit Vio,50,0
8/10/15,Lot Specific 4054,Parking Permit Vio,50,0
8/10/15,Lot Specific 4054,Parking Permit Vio,50,0
8/10/15,Lot Specific 4054,Parking Permit Vio,50,0
8/10/15,Lot Specific 4121,Parking Permit Vio,50,0
8/10/15,Lot Specific 4121,Parking Permit Vio,50,0
8/10/15,Lot Specific 4121,Parking Permit Vio,50,0
8/10/15,Lot Specific 4121,Parking Permit Vio,50,0
8/10/15,Lot Specific 4121,Parking Permit Vio,50,0
8/10/15,Lot Specific 4121,Parking Permit Vio,50,0
8/10/15,Shantz,Overtime,50,0
8/10/15,Z1 2021,Parking Permit Vio,50,0
8/10/15,Lot Specific 2012,Parking Permit Vio,50,0
8/10/15,Lot Specific 2236,Parking Permit Vio,50,0
8/10/15,Disabled 2165,Parking Permit Vio,50,0
8/10/15,Z1 2030,Parking Permit Vio,50,0
8/10/15,Z1 2030,Parking Permit Vio,50,0
8/10/15,Metered Lot 3141,Meter Violation,50,0
8/10/15,Metered Lot 3141,Meter Violation,50,0
8/10/15,Lot Specific 3233,Parking Permit Vio,50,0
8/10/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
8/10/15,1st Street,Service Space,60,0
8/10/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
8/10/15,South Of Sixth 8106,Meter Violation,50,0
8/10/15,South Of Sixth 8106,Park/Improper Area,60,0
8/10/15,South Of Sixth 8106,Park/Improper Area,60,0
8/10/15,Lot Specific 5067,Parking Permit Vio,50,0
8/10/15,Lot Specific 5072,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Park/Improper Area,60,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Park/Improper Area,60,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Park/Improper Area,60,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/10/15,Lot Specific 6090,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 6090,Parking Permit Vio,50,0
8/11/15,Lot Specific 6090,Park/Improper Area,60,0
8/11/15,Lot Specific 6090,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 6090,Park/Improper Area,60,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Cherry Avenue Garage,Parking Over Line,60,0
8/11/15,Cherry Avenue Garage,Parking Over Line,60,0
8/11/15,Lot Specific 6093,Parking Permit Vio,50,0
8/11/15,Cherry Avenue Garage,Parking Over Line,60,0
8/11/15,Cherry Avenue Garage,Parking Over Line,60,0
8/11/15,Svc & Disabled 3140,Service Space,60,0
8/11/15,Lot Specific 3039,Parking Permit Vio,50,0
8/11/15,Lot Specific 6093,Parking Permit Vio,50,0
8/11/15,Metered Lot 3141,Service Space,60,0
8/11/15,Metered Lot 3141,Meter Violation,50,0
8/11/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/11/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/11/15,1st Street,Meter Violation,50,0
8/11/15,South Of Sixth 8106,Meter Violation,50,0
8/11/15,Lot Specific 6097,Carpool,50,0
8/11/15,Alley South of Second St,Overtime,50,0
8/11/15,Warren Avenue North,Meter Violation,50,70
8/11/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/11/15,Warren Avenue North,Meter Violation,50,70
8/11/15,Warren Avenue North,Meter Violation,50,0
8/11/15,Lot Specific 5072,Parking Permit Vio,50,0
8/11/15,Lot Specific 5072,Parking Permit Vio,50,0
8/11/15,Lot Specific 4121,Parking Permit Vio,50,0
8/11/15,Lot Specific 4121,Parking Permit Vio,50,0
8/11/15,Lot Specific 4056,Parking Permit Vio,50,0
8/11/15,Lot Specific 4056,Parking Permit Vio,50,0
8/11/15,Lot Specific 4056,Parking Permit Vio,50,0
8/11/15,Lot Specific 4056,Parking Permit Vio,50,0
8/11/15,Lot Specific 4056,Parking Permit Vio,50,0
8/11/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/11/15,4th Street,Overtime,50,70
8/11/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,South Of Sixth 7105,Parking Permit Vio,50,0
8/11/15,Svc & Disabled 5073,Overtime,50,70
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,2nd Street,Overtime,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Cherry Avenue,Prohibited Parking,85,105
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Communication/CESL,Overtime,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 6093,Park/Improper Area,60,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Cherry Avenue,Meter Violation,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,1000 Block E 4th Street,Parking Permit Vio,50,0
8/11/15,Lot Specific 6090,Parking Permit Vio,50,0
8/11/15,Lot Specific 6090,Parking Permit Vio,50,70
8/11/15,South Of Sixth 8106,Parking Permit Vio,50,0
8/11/15,Z1 2025,Parking Permit Vio,50,0
8/11/15,Metered Lot 6088,Meter Violation,50,0
8/11/15,Metered Lot 3141,Meter Violation,50,0
8/11/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/11/15,Lot Specific 6098,Parking Over Line,60,0
8/11/15,1st Street,Meter Violation,50,0
8/11/15,South Of Sixth 7103,Parking Over Line,60,0
8/11/15,East Mall,Prohibited Parking,85,105
8/11/15,Lot Specific 3039,Parking Permit Vio,50,0
8/11/15,Lot Specific 3039,Parking Permit Vio,50,0
8/11/15,Lot Specific 5067,Parking Permit Vio,50,0
8/11/15,Lot Specific 5067,Parking Permit Vio,50,0
8/11/15,James E Rogers Way,Meter Violation,50,0
8/11/15,Lot Specific 5067,Parking Permit Vio,50,0
8/11/15,Park Student Center,Service Space,60,0
8/11/15,Cherry Avenue,Meter Violation,50,70
8/11/15,Alley B104 Spdway & 2nd,Overtime,50,70
8/11/15,Svc & Disabled 5183,Overtime,50,0
8/11/15,Svc & Disabled 5183,Overtime,50,0
8/11/15,Z1 2030,Meter Violation,50,0
8/11/15,Z1 2030,Meter Violation,50,0
8/11/15,Tyndall Ave Garage,Parking Over Line,60,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Tyndall Ave Garage,Parking Over Line,60,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Second Street Garage,Parking Over Line,60,0
8/11/15,1st Street,Meter Violation,50,0
8/11/15,Metered Lot 3141,Meter Violation,50,0
8/11/15,Cherry Avenue Garage,Overtime,50,0
8/11/15,Metered Lot 3141,Meter Violation,50,0
8/11/15,Alley B104 Spdway & 2nd,Overtime,50,0
8/11/15,Lot Specific 3039,Overtime,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,1st Street,Overtime,50,0
8/11/15,1st Street,Overtime,50,0
8/11/15,Sciences Concourse,Service Space,60,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 4052,Parking Permit Vio,50,0
8/11/15,Lot Specific 6090,Parking Permit Vio,50,0
8/12/15,Main Gate Garage,Parking Over Line,60,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 5072,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,South Of Sixth 8106,Meter Violation,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 3039,Parking Permit Vio,50,0
8/12/15,Lot Specific 3113,Parking Permit Vio,50,0
8/12/15,Lot Specific 3113,Parking Permit Vio,50,0
8/12/15,South Of Sixth 7102,Parking Permit Vio,50,0
8/12/15,Lot Specific 1016,Park/Improper Area,60,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,Lot Specific 4052,Parking Permit Vio,50,0
8/12/15,1000 Block E 4th Street,Park/Improper Area,60,0
8/12/15,James E Rogers Way,Overtime,50,70
8/12/15,Lot Specific 4056,Parking Permit Vio,50,0
8/12/15,Lot Specific 4056,Parking Permit Vio,50,70
8/12/15,Lot Specific 4056,Parking Permit Vio,50,0
8/12/15,Lot Specific 4056,Parking Permit Vio,50,0
8/12/15,Lot Specific 3039,Parking Permit Vio,50,0
8/12/15,Metered Lot 6088,Meter Violation,50,0
